Player,Team,Pass Targets,Receptions,Catch Percentage,Passing Yards,Passing Touchdowns,Target Percentage,Red Zone Targets,Red Zone Receptions,Red Zone Catch Percentage,Red Zone Yards,Red Zone Touchdowns,Red Zone Target Percentage,Player Link
Zach Ertz,ARI,15,8,0.5333,42,4,0.24600000000000002,10,5,0.5,28,4,0.35700000000000004,All Zach Ertz red zone receiving plays
Gerald Everett,LAC,15,9,0.6,60,4,0.156,7,3,0.4286,11,2,0.152,All Gerald Everett red zone receiving plays
Chris Godwin,TAM,15,10,0.6667000000000001,65,3,0.156,9,6,0.6667000000000001,32,3,0.184,All Chris Godwin red zone receiving plays
George Kittle,SFO,15,8,0.5333,53,5,0.24600000000000002,8,4,0.5,14,4,0.267,All George Kittle red zone receiving plays
Jerick McKinnon,KAN,15,11,0.7333,50,7,0.14,11,9,0.8181999999999999,46,7,0.172,All Jerick McKinnon red zone receiving plays
Cade Otton,TAM,15,6,0.4,19,2,0.156,8,3,0.375,7,2,0.163,All Cade Otton red zone receiving plays
Mike Evans,TAM,14,7,0.5,40,3,0.146,7,2,0.2857,6,2,0.14300000000000002,All Mike Evans red zone receiving plays
Michael Pittman,IND,14,9,0.6429,58,4,0.222,9,5,0.5556,18,3,0.281,All Michael Pittman red zone receiving plays
Allen Robinson,LAR,14,5,0.35710000000000003,33,3,0.212,12,4,0.3333,18,3,0.308,All Allen Robinson red zone receiving plays
D'Andre Swift,DET,14,10,0.7143,64,1,0.163,3,1,0.3333,7,1,0.073,All D'Andre Swift red zone receiving plays
Gabriel Davis,BUF,13,6,0.46149999999999997,60,3,0.16899999999999998,5,1,0.2,8,1,0.14300000000000002,All Gabriel Davis red zone receiving plays
Joe Mixon,CIN,13,9,0.6923,41,2,0.149,6,2,0.3333,12,1,0.171,All Joe Mixon red zone receiving plays
Donovan Peoples-Jones,CLE,13,5,0.3846,24,3,0.18600000000000003,7,3,0.4286,9,2,0.233,All Donovan Peoples-Jones red zone receiving plays
Josh Reynolds,DET,13,6,0.46149999999999997,34,3,0.151,10,5,0.5,22,3,0.244,All Josh Reynolds red zone receiving plays
Deebo Samuel,SFO,13,8,0.6154,46,1,0.213,7,3,0.4286,16,1,0.233,All Deebo Samuel red zone receiving plays
Christian Watson,GNB,13,8,0.6154,54,4,0.17600000000000002,7,4,0.5714,17,2,0.21899999999999997,All Christian Watson red zone receiving plays
Mike Williams,LAC,13,9,0.6923,83,4,0.135,1,1,1.0,10,1,0.022000000000000002,All Mike Williams red zone receiving plays
Robert Woods,TEN,13,7,0.5385,52,2,0.23199999999999998,5,3,0.6,20,2,0.20800000000000002,All Robert Woods red zone receiving plays
Tyler Boyd,CIN,12,9,0.75,72,4,0.138,4,3,0.75,7,2,0.114,All Tyler Boyd red zone receiving plays
Michael Gallup,DAL,12,6,0.5,52,4,0.179,7,3,0.4286,19,2,0.2,All Michael Gallup red zone receiving plays
Mike Gesicki,MIA,12,8,0.6667000000000001,63,5,0.19399999999999998,7,4,0.5714,19,3,0.226,All Mike Gesicki red zone receiving plays
